station_id,total_rentals,avg_hourly_rentals,std_hourly_rentals,avg_weekday_rentals,avg_weekday_morning_rentals,avg_weekday_evening_rentals,avg_weekday_midday_rentals,avg_weekday_night_rentals,avg_weekend_rentals,avg_weekend_morning_rentals,avg_weekend_afternoon_rentals,max_hourly_rentals,peak_hour,weekday_weekend_ratio,morning_evening_ratio,cluster_label
31329,640,1.0720268006700167,0.295102210626691,1.0755395683453237,1.0833333333333333,1.0865384615384615,1.0555555555555556,1.0,1.024390243902439,0.0,1.0,3,10,1.0489075498241782,0.9976709277142704,0
31330,59238,3.3728861811763364,2.574158816230528,3.4145660497766435,3.970059880239521,5.118347338935574,2.6733212341197823,2.3065693430656933,3.268947682514422,2.7494456762749446,4.32760663507109,24,18,1.0442265079761206,0.771202447902495,4
31331,2917,1.2878587196467992,0.6546639262676188,1.2348101265822784,1.2437923250564333,1.2785515320334262,1.2362459546925566,1.10625,1.4102189781021899,1.4128440366972477,1.521505376344086,7,4,0.874995408751414,1.003840944563788,0
31332,28843,2.2193751923668823,1.597505783068759,2.2302989885517395,2.8821396192203084,2.633189655172414,1.7185652345289713,1.6747673216132368,2.194798699674919,2.1543810848400557,2.5155459146782357,14,8,1.0157119543252886,1.0720197424088542,2
31333,7825,1.5409610082709728,0.8908282480678268,1.5218881856540085,1.4880694143167028,1.6055143160127254,1.5846257585974377,1.204954954954955,1.5972006220839814,1.5042372881355932,1.6990445859872612,9,17,0.9522510282029143,0.928505370775284,3
31334,1152,1.1925465838509317,0.5330393207980184,1.1737931034482758,1.1049723756906078,1.2591093117408907,1.1626984126984128,1.0444444444444445,1.2489626556016598,1.2432432432432432,1.2847222222222223,6,1,0.9390625377390013,0.9038675742458646,0
31335,3472,2.1578620261031696,1.6360185268678646,2.2197346600331676,1.7309644670050761,3.2630057803468207,1.8987068965517242,1.6381909547738693,1.9727047146401986,1.9759036144578312,2.050359712230216,13,18,1.1246538773343406,0.590309373840988,2
31336,7994,3.0972491282448664,2.3060915682696494,3.0599775784753365,3.475578406169666,4.286374133949192,2.37109375,2.3044444444444445,3.1806775407779173,2.73728813559322,4.152091254752852,16,18,0.9617497497019056,0.8233256766938005,4
31337,2808,1.9141104294478528,1.3212446884201003,1.7732793522267207,1.4196891191709844,2.3738601823708207,1.5462962962962963,1.380281690140845,2.2045929018789145,1.640625,2.535211267605634,11,18,0.8039921377676217,0.6216195175517334,3
31338,3182,1.8318940702360391,1.1552607253824383,1.772108843537415,1.6558704453441295,2.2818181818181817,1.6586021505376345,1.3436123348017621,1.9572192513368984,2.0782608695652174,2.119047619047619,8,18,0.9049593615871033,0.8115051543784619,3
