station_id,station_name,latitude,longitude
31629,8th & East Capitol St NE,38.889988,-76.995193
31630,15th & East Capitol St NE,38.889908,-76.983326
31631,8th & F St NE,38.897274,-76.994749
31632,15th & F St NE,38.897195,-76.983575
31633,Independence Ave & L'Enfant Plaza SW/DOE,38.887332,-77.026141
31634,3rd & Tingey St SE,38.87501,-77.0024
31635,Potomac Ave & 8th St SE,38.876737,-76.994468
31636,New Jersey Ave & N St NW/Dunbar HS,38.907467484,-77.015358806
31637,North Capitol St & G Pl NE,38.899703,-77.008911
31638,1st & H St NW,38.900358,-77.012108
31639,2nd & G St NE,38.89967,-77.003666
31640,Maryland Ave & E St NE,38.8962260397813,-76.99278563261032
31641,2nd St & Massachusetts Ave NE,38.894972,-77.003135
31642,4th St & K St NW,38.90257109172293,-77.01366662979126
31643,1st & D St SE,38.884916,-77.005965
31644,12th St & Pennsylvania Ave SE,38.882489,-76.990121
31645,6th & K St NE,38.90293157359119,-76.99840486049652
31646,Maine Ave & 9th St SW,38.88044,-77.025236
31647,7th St & Massachusetts Ave NE,38.892288327,-76.996037483
31648,Potomac Ave & Half St SW,38.86968314861632,-77.01081544160843
31649,14th & Newton St NW,38.931991,-77.032956
31650,1st & M St SE,38.876893,-77.006072
31651,11th & Park Rd NW,38.93132185874559,-77.02824711799622
31652,4th & M St SE,38.876751,-77.000736
31653,7th & K St NW,38.906377416666665,-77.032207
31654,King Greenleaf Rec Center,38.876211,-77.012443
31655,New Jersey Ave & F St NW,38.897108,-77.011616
31656,Maryland Ave & 17th St NE,38.901935,-76.978627
31657,Massachusetts Ave & 6th St NE,38.892875,-76.998413
31658,Rosedale Rec Center,38.897808,-76.979634
31659,11th & C St SE,38.885908,-76.991476
31660,7th & K St NE,38.902594,-76.995141
31661,8th & H St NE,38.899941626884754,-76.99489653110504
31662,1st & K NE,38.902386,-77.005649
31663,14th & D St SE,38.8840581,-76.9863852
31664,Half & Water St SW,38.866277,-77.010551
31665,Stadium Armory Metro,38.88548252734069,-76.97718724608421
31666,4th & G St SW,38.881116725009335,-77.01769933104515
31667,2nd & V St SW,38.863743,-77.013814
31668,1st St & Potomac Ave SE,38.871841,-77.00591
31669,3rd & M St SE,38.876823,-77.002161
31670,12th St & New York Ave NW,38.901104,-77.028061
31671,53rd & D St SE/C.W. Harris Elementary,38.88339901,-76.925358415
31672,10th & H St NE,38.899984,-76.992725
31673,Waterfront Park,38.874820772513424,-77.0207878947258
31674,Maine Ave & Water St SW,38.87702133333333,-77.02129516666666
31675,North Capitol & K St NE,38.90244372501735,-77.00824588537216
31676,1st & Q St SW,38.87082393953792,-77.01191514730453
31677,1st & L St NW,38.903819,-77.011987
31678,4th & O St SW,38.872964,-77.017585
31700,Marion Barry Ave & Naylor Rd SE,38.861663,-76.969184
31701,Branch & Pennsylvania Ave SE,38.8692,-76.9599
31702,Randle Circle & Minnesota Ave SE,38.878,-76.9607
31703,Minnesota Ave Metro/DOES,38.897063,-76.947446
31704,Nannie Helen Burroughs & Minnesota Ave NE,38.901385,-76.941877
31705,Benning Branch Library,38.894,-76.947974
31706,Fairfax Village,38.86559,-76.952103
31707,Benning Rd & East Capitol St NE / Benning Rd Metro,38.889935,-76.93723
31708,Anacostia Ave & Benning Rd NE / River Terrace ,38.896544,-76.96012
31710,Nannie Helen Burroughs Ave & 49th St NE,38.898536,-76.931862
31711,Deanwood Rec Center,38.908473,-76.933099
31712,Oklahoma Ave & D St NE,38.894474,-76.974828
31713,Division Ave & Foote St NE,38.897407,-76.925907
31714,61st St & Banks Pl NE,38.891805,-76.913563
31715,37th & Ely Pl SE,38.883132,-76.950009
31716,Kingman Island/The Fields at RFK,38.89595455700754,-76.9678448436025
31717,Kenilworth Terrace & Hayes St. NE,38.90046848783359,-76.9472873210907
31718,Ridge Rd Community Center,38.87622744575148,-76.94098126958124
31719,Oklahoma Ave & Benning Rd NE,38.8974996,-76.9695094
31720,Anacostia Roller Skating Pavillion,38.878771,-76.97093
31721,Anacostia Ave & East Capitol St NE,38.890461,-76.96128
